State,County,White,Black,Hispanic,Asian,Native.American.Alaska.Native
Kentucky,Ohio County,96.2,0.8,3.5,0.2,0.2
Kentucky,Owen County,96.6,0.8,2.3,0.2,0.2
Kentucky,Powell County,97.7,0.6,1,0.1,0.1
Kentucky,Rockcastle County,98.4,0.1,0.6,0.1,0.3
Kentucky,Trigg County,89.1,8.2,1.2,0.3,0.3
Kentucky,Webster County,91.4,4.1,4.3,0.3,0.2
Louisiana,Allen Parish,71.6,23.2,1.3,0.7,2.4
Louisiana,Bienville Parish,55.3,42.3,1.4,0.2,0.3
Louisiana,Claiborne Parish,47.5,50.8,1,0.2,0.4
Louisiana,Iberville Parish,48.8,49.3,2,0.3,0.2
Louisiana,Lafayette Parish,69.4,25.8,3.9,1.5,0.3
Louisiana,Livingston Parish,91.9,5.1,3,0.5,0.4
Louisiana,Pointe Coupee Parish,61.4,36.3,2.2,0.2,0.1
Louisiana,St. Charles Parish,69.2,26.6,5,0.8,0.3
Louisiana,St. James Parish,48,50.6,1.2,0.1,0.2
Louisiana,Union Parish,69,27.2,4.2,0.1,0.3
Iowa,Clinton County,94,2.6,2.5,0.6,0.2
Iowa,Crawford County,82.9,1.2,24.2,0.6,0.3
Iowa,Delaware County,98.6,0.3,0.8,0.3,0.1
Iowa,Emmet County,93.1,0.6,7.4,0.4,0.7
Iowa,Floyd County,95.8,1.2,2,1.3,0.1
Iowa,Hamilton County,93.8,0.3,5,2,0.2
Iowa,Henry County,92.1,2.2,3.8,2.3,0.3
Iowa,Iowa County,97.8,0.3,1.9,0.3,0.2
Iowa,Jones County,96.4,2,1.3,0.4,0.2
Iowa,Linn County,90.8,4,2.6,1.8,0.3
Iowa,Madison County,98.1,0.3,1.3,0.3,0.2
Iowa,Marion County,96.7,0.7,1.6,1.1,0.2
Iowa,Montgomery County,97.4,0.2,2.8,0.2,0.4
Iowa,O'Brien County,96,0.5,3.8,0.6,0.1
Iowa,Pocahontas County,97.5,0.4,2.3,0.2,0.2
Iowa,Sac County,97.8,0.3,1.9,0.2,0.1
Iowa,Story County,88.6,2.5,3,6,0.2
Iowa,Union County,96.9,0.7,1.8,0.5,0.3
Iowa,Warren County,97.1,0.5,1.9,0.5,0.2
Iowa,Worth County,97.9,0.4,1.9,0.3,0.2
Kansas,Atchison County,91,5,2.3,0.4,0.5
Kansas,Butler County,93.5,1.7,3.9,0.7,1
Michigan,Hillsdale County,97,0.5,1.8,0.4,0.4
Michigan,Ionia County,91.6,4.7,4.4,0.4,0.5
Michigan,Isabella County,89.2,2.4,3.1,1.6,3.4
Michigan,Kalamazoo County,81.7,10.9,4,2.1,0.4
Michigan,Kent County,79.9,9.7,9.7,2.3,0.5
Michigan,Livingston County,96.7,0.4,1.9,0.8,0.4
Michigan,Mackinac County,76.5,0.5,1.1,0.2,17.3
Michigan,Marquette County,93.8,1.7,1.1,0.6,1.7
Michigan,Midland County,94.5,1.2,2,1.9,0.4
Michigan,Missaukee County,97.1,0.3,2.1,0.3,0.6
Michigan,Newaygo County,94.1,1,5.5,0.4,0.8
Michigan,Osceola County,96.9,0.6,1.5,0.2,0.5
Michigan,Roscommon County,97.3,0.4,1.1,0.3,0.6
Michigan,Shiawassee County,96.7,0.5,2.4,0.4,0.5
Michigan,Washtenaw County,74.5,12.7,4,7.9,0.3
Michigan,Wexford County,96.5,0.4,1.6,0.6,0.6
Minnesota,Benton County,94.5,1.9,1.6,1.1,0.4
Minnesota,Cottonwood County,92.2,0.7,6.2,2.7,0.2
Minnesota,Dodge County,96.1,0.3,4.6,0.4,0.3
Minnesota,Douglas County,97.7,0.4,0.9,0.5,0.3
Minnesota,Grant County,97.4,0.3,1.6,0.2,0.1
Minnesota,Hubbard County,94.5,0.2,1.6,0.2,2.7
Minnesota,Kandiyohi County,92.8,2.3,11.2,0.4,0.3
Minnesota,Lac qui Parle County,97.6,0.2,1.5,0.4,0.2
Minnesota,Le Sueur County,95.5,0.3,5.2,0.6,0.3
Minnesota,Lyon County,90.3,2.3,6,2.6,0.4
Minnesota,Meeker County,97.3,0.3,3.3,0.3,0.2
Minnesota,Murray County,96.7,0.3,2.8,0.9,0.1
Minnesota,Otter Tail County,96.1,0.8,2.6,0.5,0.5
Minnesota,Pope County,97.9,0.3,0.9,0.4,0.2
Minnesota,Renville County,95.4,0.3,6.6,0.3,0.6
Minnesota,Sherburne County,94,1.9,2.2,1.3,0.5
Minnesota,Steele County,93.1,2.8,6.2,0.8,0.2
Minnesota,Wadena County,96.7,0.8,1.3,0.3,0.5
Minnesota,Watonwan County,86.9,0.7,20.9,0.8,0.4
Mississippi,Alcorn County,85.4,11.4,2.7,0.3,0.2
Mississippi,Benton County,60.5,37.3,1.7,0.1,0.3
Mississippi,Choctaw County,68.4,30.1,0.9,0.1,0.2
Mississippi,Covington County,63,34.9,1.9,0.2,0.1
Mississippi,Greene County,72.5,26,0.9,0.1,0.3
Mississippi,Itawamba County,92.4,5.9,1.3,0.2,0.2
Mississippi,Jefferson Davis County,38.7,59.9,0.8,0.1,0.3
Mississippi,Kemper County,35.3,60.1,0.5,0.1,3.7
Louisiana,Webster Parish,64.2,33.5,1.6,0.3,0.4
Louisiana,West Baton Rouge Parish,60,37.7,2.3,0.3,0.1
Maine,Hancock County,96.9,0.4,1.1,0.8,0.4
Maine,Piscataquis County,96.9,0.3,1,0.7,0.5
Maine,Washington County,92.1,0.4,1.4,0.5,4.9
Maryland,Calvert County,81.4,13.4,2.7,1.4,0.4
Maryland,Carroll County,92.9,3.2,2.6,1.4,0.2
Maryland,Charles County,50.3,41,4.3,3,0.7
Maryland,Howard County,62.2,17.5,5.8,14.4,0.3
Maryland,Kent County,80.1,15.1,4.5,0.8,0.2
Maryland,St. Mary's County,78.6,14.3,3.8,2.5,0.4
Maryland,Somerset County,53.5,42.3,3.3,0.7,0.3
Massachusetts,Barnstable County,92.7,1.9,2.2,1.1,0.6
Massachusetts,Franklin County,94.2,1.1,3.2,1.3,0.3
Michigan,Antrim County,96.8,0.2,1.7,0.2,1
Michigan,Branch County,92.9,3.1,4,0.5,0.4
Michigan,Clare County,96.8,0.5,1.5,0.3,0.7
Michigan,Crawford County,97.5,0.4,1.3,0.4,0.5
Michigan,Eaton County,87.8,6.3,4.7,1.7,0.4
Michigan,Gladwin County,97.7,0.2,1.2,0.3,0.5
Missouri,Iron County,96.4,1.3,1.3,0.1,0.5
Missouri,Jasper County,88.2,1.9,6.8,1,1.5
Missouri,Knox County,98,0.3,0.8,0.2,0.2
Missouri,Linn County,97.2,0.7,1.5,0.2,0.2
Missouri,Madison County,97.1,0.3,2,0.3,0.4
Missouri,Marion County,91.8,4.9,1.4,0.5,0.2
Missouri,Moniteau County,92.4,3.7,3.8,0.4,0.3
Missouri,Morgan County,96.1,0.6,1.8,0.4,0.7
Missouri,Perry County,97.2,0.4,1.7,0.4,0.3
Missouri,Pulaski County,77.5,11.4,9,2.6,0.8
Missouri,St. Clair County,96.5,0.5,1.7,0.1,0.7
Missouri,Saline County,86.2,5.3,8.2,0.5,0.3
Missouri,Sullivan County,88.7,0.5,18.6,0.1,0.7
Missouri,Washington County,95.8,2.2,1,0.2,0.4
Missouri,Webster County,96.3,0.9,1.7,0.2,0.7
Montana,Cascade County,89.2,1.2,3.3,0.8,4.3
Montana,Golden Valley County,94,0,3.5,0.7,1
Montana,Lake County,69.4,0.3,3.5,0.4,22
Montana,Madison County,96.8,0.2,2.4,0.3,0.5
Montana,Pondera County,82.7,0.1,1.4,0.2,14.5
Montana,Silver Bow County,94.4,0.3,3.7,0.5,1.9
Montana,Treasure County,93.9,0,3.5,0.4,0.8
Montana,Wheatland County,95.8,0.3,1.5,0.6,0.5
Nebraska,Adams County,91.9,0.8,8.1,1.4,0.4
Nebraska,Blaine County,99.2,0.2,0,0,0
Nebraska,Butler County,97.6,0.3,2.3,0.3,0.1
Nebraska,Clay County,93,0.3,7.7,0.2,0.5
Nebraska,Colfax County,72.6,0.8,41,0.3,1.1
Nebraska,Dawson County,78,3.1,31.8,0.6,0.8
Nebraska,Fillmore County,96.8,0.6,3,0.2,0.5
Nebraska,Frontier County,98.4,0,1.3,0.1,0.3
Nebraska,Grant County,98.4,0,1.1,0.2,0.2
Nebraska,Hall County,82.6,1.7,23.3,1,0.9
Nebraska,Johnson County,87.1,5.3,8.3,1.4,1.1
Nebraska,Kearney County,96.8,0.2,3.8,0.2,0.2
Nebraska,Logan County,98.4,0.1,1.7,0.1,0.9
Nebraska,McPherson County,98.1,0.4,0.4,0,0
Nebraska,Nance County,98,0.2,1.7,0.1,0.3
Nebraska,Pawnee County,97.7,0.3,1.3,0.3,0.1
Nebraska,Pierce County,98.4,0.2,1.3,0.2,0.2
